timestamp,bandwidth_mbps,latency_ms,packet_loss_percent,current_quality
2025-05-06T20:21:42.837541,11.88,66.12,0.89,medium
2025-05-06T20:21:49.843228,10.03,55.37,2.64,medium
2025-05-06T20:21:50.850044,9.91,53.38,2.49,medium
2025-05-06T20:21:50.855601,9.91,53.38,2.49,medium
2025-05-06T20:21:52.865691,9.21,54.03,2.31,medium
2025-05-06T20:21:54.858017,9.68,54.41,2.24,medium
2025-05-06T20:21:55.430065,9.68,54.41,2.24,medium
2025-05-06T20:21:55.436586,9.68,54.41,2.24,medium
2025-05-06T20:21:57.443090,9.73,49.99,2.2,medium
2025-05-06T20:21:59.449087,9.51,49.73,2.18,medium
2025-05-06T20:22:03.440516,10.34,50.94,0.99,high
2025-05-06T20:22:05.438689,9.96,53.55,1.03,high
2025-05-06T20:22:07.440654,10.13,55.85,1.16,high
2025-05-06T20:22:09.460131,10.26,57.13,1.24,high
2025-05-06T20:22:11.440604,8.7,53.43,1.17,high
