timestamp,previous_quality,new_quality,bandwidth_mbps,latency_ms,packet_loss_percent
2025-05-04T14:05:22.331573,medium,high,10.33,56.19,1.79
2025-05-04T14:05:28.342882,high,medium,9.57,57.97,2.51
2025-05-04T14:05:28.803603,medium,high,10.07,48.04,1.01
2025-05-04T14:05:34.350332,medium,high,9.9,58.76,1.85
2025-05-04T14:05:40.381143,high,medium,9.53,57.1,2.23
2025-05-04T14:05:48.404220,medium,high,9.51,47.09,1.02
2025-05-04T14:05:52.913518,high,medium,9.92,51.72,2.13
2025-05-04T14:05:58.925633,medium,high,9.13,57.65,1.96
2025-05-04T14:06:16.501159,high,medium,9.6,55.39,2.86
2025-05-04T14:06:16.991956,high,medium,9.13,53.31,2.05
2025-05-04T14:06:24.535638,medium,high,9.52,53.52,1.84
2025-05-04T14:06:31.046627,medium,high,9.88,65.64,0.78
2025-05-04T14:06:36.568775,high,medium,9.18,58.98,2.31
2025-05-04T14:06:46.604255,medium,high,10.08,64.69,1.62
2025-05-04T14:06:49.137210,high,medium,9.8,65.31,2.35
2025-05-04T14:06:59.179384,medium,high,9.62,63.83,1.48
2025-05-04T14:07:00.673210,high,medium,10.05,59.6,2.48
2025-05-04T14:07:06.705189,medium,high,9.39,49.98,1.75
2025-05-04T14:07:09.222365,high,medium,9.37,55.61,3.19
2025-05-04T14:07:19.248920,medium,high,9.83,55.94,0.88
